jitsi_jvb  | JVB 2026-02-15 19:35:11.749 INFO: [108] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05] Conference.lambda$new$2#273: SENT colibri2 response: <iq xmlns='jabber:client' to='jvbbrewery@internal-muc.meet.jitsi/focus' from='jvb@auth.meet.jitsi/CFa8tUPAGuqU' id='anZiQGF1dGgubWVldC5qaXRzaS9DRmE4dFVQQUd1cVUARTRGMVItMjkAY0NlMpHPNPA=' type='result'><conference-modified xmlns='jitsi:colibri2'><endpoint xmlns='jitsi:colibri2' id='852ca0a1'/></conference-modified></iq>
jitsi_jvb  | JVB 2026-02-15 19:35:22.982 INFO: [113] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05] Colibri2ConferenceHandler.handleConferenceModifyIQ#72: Received request to expire conference.
jitsi_jvb  | JVB 2026-02-15 19:35:22.982 INFO: [113] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05] Conference.lambda$new$2#273: SENT colibri2 response: <iq xmlns='jabber:client' to='jvbbrewery@internal-muc.meet.jitsi/focus' from='jvb@auth.meet.jitsi/CFa8tUPAGuqU' id='anZiQGF1dGgubWVldC5qaXRzaS9DRmE4dFVQQUd1cVUARTRGMVItMzEAY0NlMpHPNPA=' type='result'><conference-modified xmlns='jitsi:colibri2'/></iq>
jitsi_jvb  | JVB 2026-02-15 19:35:22.982 INFO: [113] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05] Conference.expire#608: Expiring.
jitsi_jvb  | JVB 2026-02-15 19:35:22.982 INFO: [113] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05] EndpointConnectionStatusMonitor.stop#66: Stopped
jitsi_jvb  | JVB 2026-02-15 19:35:22.983 INFO: [113] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05 epId=852ca0a1 stats_id=Kendall-75v] Endpoint.expire#1051: Spent 0 seconds oversending
jitsi_jvb  | JVB 2026-02-15 19:35:22.983 INFO: [113] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05 epId=852ca0a1 stats_id=Kendall-75v] BitrateProber.setEnabled#64: Bandwidth probing disabled
jitsi_jvb  | JVB 2026-02-15 19:35:22.983 INFO: [113] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05 epId=852ca0a1 stats_id=Kendall-75v] DtlsTransport.stop#212: Stopping
jitsi_jvb  | JVB 2026-02-15 19:35:22.984 INFO: [113] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05 epId=852ca0a1 stats_id=Kendall-75v local_ufrag=f0ck71jhi1clah] IceTransport.stop#281: Stopping
jitsi_jvb  | JVB 2026-02-15 19:35:22.984 INFO: [113] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05 epId=852ca0a1 stats_id=Kendall-75v local_ufrag=f0ck71jhi1clah ufrag=f0ck71jhi1clah] Agent.setState#934: ICE state changed from Running to Terminated.
jitsi_jvb  | JVB 2026-02-15 19:35:22.984 INFO: [113] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05 epId=852ca0a1 stats_id=Kendall-75v] Endpoint.expire#1072: Expired.
jitsi_jvb  | JVB 2026-02-15 19:35:22.985 INFO: [113] [confId=9a5f810b4845ff0a conf_name=asdf@muc.meet.jitsi meeting_id=21eeac05] Conference.updateStatisticsOnExpire#639: expire_conf,duration=60
